file,subject,session,begin_time,end_time,low_freq,high_freq,duration,delta_duration,max_freq,pfc_avg_slope,avg_entropy,agg_entropy,snr,ioi,ioi_2,delta_voice_freq,delta_voice_inflexion,delta_voice_entropy,delta_time_1,delta_time_2,delta_time_3,delta_time_4,max_freq_1,max_freq_2,max_freq_3,max_freq_4,pfc_avg_slope_1,pfc_avg_slope_2,pfc_avg_slope_3,pfc_avg_slope_4,avg_entropy_1,avg_entropy_2,avg_entropy_3,avg_entropy_4,pc_duration,pc_voice_freq,pc_voice_inflexion,pc_voice_entropy
Alex MZ02,Alex,1,91.644,91.7863,72.215,1706.083,0.1423,NA,205.078,0.025,6.89,7.15,19.47,NA,NA,NA,NA,NA,0.1463,0.1707,0.1463,0.1545,161.133,788.086,914.062,682.617,-0.102,2.294,4.868,-0.146,7.483,7.834,7.568,7.162,NA,NA,NA,NA
Alex MZ02,Alex,1,109.8685,110.0148,108.323,1399.169,0.1463,0.0040000000000000036,161.133,-0.102,7.483,7.452,17.41,18.224499999999992,0.0040000000000000036,-43.94499999999999,-0.127,0.593,0.1707,0.1463,0.1545,0.1322,788.086,914.062,682.617,161.133,2.294,4.868,-0.146,-0.663,7.834,7.568,7.162,6.118,2.810962754743502,-21.428432108758617,-508,8.606676342525398
Alex MZ02,Alex,1,125.4809,125.6516,216.645,1354.034,0.1707,0.024399999999999977,788.086,2.294,7.834,8.289,12.98,15.612400000000008,0.024399999999999977,626.953,2.396,0.351,0.1463,0.1545,0.1322,0.2328,914.062,682.617,161.133,178.711,4.868,-0.146,-0.663,2.173,7.568,7.162,6.118,6.541,16.678058783321926,389.090378755438,-2349.0196078431372,4.690632099425364
Alex MZ02,Alex,1,127.7369,127.8832,207.619,1146.416,0.1463,-0.024399999999999977,914.062,4.868,7.568,8.034,11.82,2.2560000000000002,-0.024399999999999977,125.976,2.5740000000000003,-0.266,0.1545,0.1322,0.2328,0.1667,682.617,161.133,178.711,178.711,-0.146,-0.663,2.173,0.776,7.162,6.118,6.541,6.201,-14.294083186877552,15.985057468347364,112.20575414123802,-3.395455705897371
Alex MZ02,Alex,1,167.3119,167.4663,63.188,1498.465,0.1545,0.008199999999999985,682.617,-0.146,7.162,7.632,24.4,39.575,0.008199999999999985,-231.44500000000005,-5.014,-0.4059999999999997,0.1322,0.2328,0.1667,0.2012,161.133,178.711,178.711,169.922,-0.663,2.173,0.776,0.275,6.118,6.541,6.201,7.096,5.604921394395069,-25.320492483004443,-102.99917830731306,-5.364693446088791
Alex MZ02,Alex,1,178.1696,178.3018,99.296,1056.147,0.1322,-0.022299999999999986,161.133,-0.663,6.118,5.994,18.25,10.857699999999994,-0.022299999999999986,-521.4839999999999,-0.517,-1.0439999999999996,0.2328,0.1667,0.2012,0.1926,178.711,178.711,169.922,178.711,2.173,0.776,0.275,0.444,6.541,6.201,7.096,6.904,-14.433656957928795,-76.39481583376914,354.1095890410959,-14.576933817369445
Alex MZ02,Alex,1,178.7416,178.9744,72.215,1679.002,0.2328,0.1006,178.711,2.173,6.541,6.679,18.18,0.5720000000000027,0.1006,17.578000000000003,2.8360000000000003,0.42300000000000004,0.1667,0.2012,0.1926,0.1954,178.711,169.922,178.711,251.953,0.776,0.275,0.444,0.367,6.201,7.096,6.904,6.708,76.09682299546141,10.9090006392235,-427.7526395173454,6.914024190912063
Alex MZ02,Alex,1,197.5647,197.7314,65.217,1217.391,0.1667,-0.06610000000000002,178.711,0.776,6.201,6.145,18.95,18.823099999999982,-0.06610000000000002,0,-1.397,-0.34000000000000075,0.2012,0.1926,0.1954,0.184,169.922,178.711,251.953,181.641,0.275,0.444,0.367,0.229,7.096,6.904,6.708,6.106,-28.393470790378018,0,-64.28900138057985,-5.197981959944974
Alex MZ02,Alex,1,198.2344,198.4356,72.464,1427.536,0.2012,0.0345,169.922,0.275,7.096,7.091,18.71,0.669700000000006,0.0345,-8.789000000000016,-0.501,0.8950000000000005,0.1926,0.1954,0.184,0.1782,178.711,251.953,181.641,219.727,0.444,0.367,0.229,0.653,6.904,6.708,6.106,6.657,20.695860827834437,-4.91799609425274,-64.56185567010309,14.433155942589911
Alex MZ02,Alex,1,215.0602,215.2528,57.971,1420.29,0.1926,-0.008599999999999997,178.711,0.444,6.904,6.83,24.48,16.825800000000015,-0.008599999999999997,8.789000000000016,0.16899999999999998,-0.19200000000000017,0.1954,0.184,0.1782,0.1753,251.953,181.641,219.727,196.289,0.367,0.229,0.653,-4.006,6.708,6.106,6.657,7.11,-4.274353876739561,5.1723732065300645,61.45454545454544,-2.7057497181510732
Alex MZ02,Alex,1,215.6092,215.8047,86.957,1681.159,0.1954,0.002799999999999997,251.953,0.367,6.708,7.325,23.45,0.5489999999999782,0.002799999999999997,73.24199999999999,-0.07700000000000001,-0.19599999999999973,0.184,0.1782,0.1753,0.2012,181.641,219.727,196.289,659.18,0.229,0.653,-4.006,0.18,6.106,6.657,7.11,7.098,1.4537902388369663,40.98348730632137,-17.342342342342345,-2.838933951332557
Alex MZ02,Alex,1,262.2027,262.3866,57.971,1391.304,0.184,-0.011399999999999993,181.641,0.229,6.106,6.056,22.85,46.593500000000006,-0.011399999999999993,-70.31200000000001,-0.13799999999999998,-0.6020000000000003,0.1782,0.1753,0.2012,0.1408,219.727,196.289,659.18,665.039,0.653,-4.006,0.18,-6.102,6.657,7.11,7.098,7.185,-5.834186284544521,-27.906792139803855,-37.602179836512256,-8.974358974358978
Alex MZ02,Alex,1,263.8197,263.9979,43.478,1543.478,0.1782,-0.0058,219.727,0.653,6.657,6.808,26.23,1.6170000000000186,-0.0058,38.08600000000001,0.42400000000000004,0.5510000000000002,0.1753,0.2012,0.1408,0.1811,196.289,659.18,665.039,237.305,-4.006,0.18,-6.102,0.176,7.11,7.098,7.185,6.556,-3.152173913043478,20.967733055862947,185.15283842794761,9.023910907304293
Alex MZ02,Alex,1,279.9942,280.1696,86.957,1630.435,0.1753,-0.002899999999999986,196.289,-4.006,7.11,7.062,22.3,16.174499999999966,-0.002899999999999986,-23.438000000000017,-4.659000000000001,0.4530000000000003,0.2012,0.1408,0.1811,0.2012,659.18,665.039,237.305,202.148,0.18,-6.102,0.176,-0.122,7.098,7.185,6.556,6.758,-1.6273849607182862,-10.666872983292912,-713.4762633996938,6.804867057232992
Alex MZ02,Alex,1,283.5539,283.7551,72.464,1398.551,0.2012,0.02589999999999998,659.18,0.18,7.098,7.577,31.15,3.5597000000000207,0.02589999999999998,462.89099999999996,4.186,-0.012000000000000455,0.1408,0.1811,0.2012,0.2357,665.039,237.305,202.148,665.039,-6.102,0.176,-0.122,-1.746,7.185,6.556,6.758,7.346,14.774671990872775,235.82116165449924,-104.49326010983523,-0.16877637130802325
Alex MZ02,Alex,1,324.9391,325.0799,65.217,1601.449,0.1408,-0.06039999999999998,665.039,-6.102,7.185,7.425,22.61,41.3852,-0.06039999999999998,5.859000000000037,-6.282,0.08699999999999974,0.1811,0.2012,0.2357,0.2069,237.305,202.148,665.039,246.094,0.176,-0.122,-1.746,0.214,6.556,6.758,7.346,6.677,-30.01988071570576,0.8888315786279981,-3490,1.2256973795435298
Alex MZ02,Alex,1,325.422,325.603,79.71,1115.942,0.1811,0.0403,237.305,0.176,6.556,7.192,27.74,0.4829000000000292,0.0403,-427.734,6.2780000000000005,-0.6289999999999996,0.2012,0.2357,0.2069,0.1696,202.148,665.039,246.094,758.789,-0.122,-1.746,0.214,3.69,6.758,7.346,6.677,7.071,28.62215909090909,-64.31713027356291,-102.88430022943298,-8.754349338900482
Alex MZ02,Alex,1,327.2718,327.473,72.464,1543.478,0.2012,0.02009999999999998,202.148,-0.122,6.758,7.304,24.6,1.8497999999999593,0.02009999999999998,-35.15700000000001,-0.298,0.20199999999999996,0.2357,0.2069,0.1696,0.2041,665.039,246.094,758.789,776.367,-1.746,0.214,3.69,2.707,7.346,6.677,7.071,6.972,11.098840419657636,-14.815111354585875,-169.3181818181818,3.0811470408785837
Alex MZ02,Alex,1,343.0325,343.2682,50.725,1615.942,0.2357,0.0345,665.039,-1.746,7.346,7.914,24.01,15.760700000000043,0.0345,462.89099999999996,-1.624,0.5880000000000001,0.2069,0.1696,0.2041,0.1552,246.094,758.789,776.367,755.859,0.214,3.69,2.707,0.417,6.677,7.071,6.972,7.121,17.147117296222667,228.98618833725783,1331.1475409836066,8.700799052974254
Alex MZ02,Alex,1,345.3832,345.5902,57.971,1311.594,0.2069,-0.028799999999999992,246.094,0.214,6.677,7.37,26.72,2.3506999999999607,-0.028799999999999992,-418.945,1.96,-0.6690000000000005,0.1696,0.2041,0.1552,0.1581,758.789,776.367,755.859,752.93,3.69,2.707,0.417,4.244,7.071,6.972,7.121,7.348,-12.218922358930842,-62.99555364422237,-112.2565864833906,-9.10699700517289
Alex MZ02,Alex,1,360.459,360.6286,72.464,1427.536,0.1696,-0.0373,758.789,3.69,7.071,7.514,24.54,15.075800000000015,-0.0373,512.6949999999999,3.476,0.39400000000000013,0.2041,0.1552,0.1581,0.1811,776.367,755.859,752.93,222.656,2.707,0.417,4.244,0.3,6.972,7.121,7.348,6.27,-18.0280328661189,208.3329947093387,1624.2990654205605,5.900853676800961
Alex MZ02,Alex,1,368.8582,369.0622,57.971,1420.29,0.2041,0.0345,776.367,2.707,6.972,7.422,28.29,8.399200000000008,0.0345,17.577999999999975,-0.9830000000000001,-0.09899999999999931,0.1552,0.1581,0.1811,0.2012,755.859,752.93,222.656,222.656,0.417,4.244,0.3,0.115,7.121,7.348,6.27,7.061,20.341981132075475,2.316586033798589,-26.639566395663962,-1.4000848536274828
Alex MZ02,Alex,1,381.1713,381.3265,57.971,1434.783,0.1552,-0.0489,755.859,0.417,7.121,7.53,26.18,12.313099999999963,-0.0489,-20.507999999999925,-2.29,0.14900000000000002,0.1581,0.1811,0.2012,0.1581,752.93,222.656,222.656,187.5,4.244,0.3,0.115,-6.423,7.348,6.27,7.061,6.971,-23.95884370406663,-2.6415342228610856,-84.59549316586627,2.137119908204246
Alex MZ02,Alex,1,404.6405,404.7986,57.971,1536.232,0.1581,0.002899999999999986,752.93,4.244,7.348,7.607,28.89,23.4692,0.002899999999999986,-2.9290000000000873,3.827,0.22699999999999942,0.1811,0.2012,0.1581,0.1581,222.656,222.656,187.5,717.773,0.3,0.115,-6.423,3.231,6.27,7.061,6.971,7.114,1.8685567010309188,-0.38750613540357226,917.7458033573142,3.1877545288582985
